Özellik,Önem
T_rms_guvenlikli,0.27642982714886527
n_max_ihtiyac,0.1890961926603945
motor_P_nom,0.09047756923442665
motor_T_max,0.09022039174839051
motor_T_nom,0.08733751447042087
motor_n_max,0.0725912449565248
n_nom_ihtiyac,0.04435633184133324
P_ihtiyac_kW,0.041805438805342286
T_peak,0.03672445921611683
sinif_kod,0.018275330537536154
T_amb,0.016563247338186073
T_cont,0.016008899136871948
verim_kod,0.015770694285355435
t_peak,0.0021443213861199535
t_cycle,0.0021039221615825245
SF,9.461507253292819e-05
